タイトル,当期全世界計,国内,海外,累計全世界計
あつまれ どうぶつの森,1427,434,993,2604
スーパーマリオ 3Dコレクション,521,75,446,521
マリオカート8 デラックス,421,54,367,2899
リングフィット アドベンチャー,311,91,220,584
ペーパーマリオ オリガミキング,282,43,239,282
ゼルダの伝説 ブレス オブ ザ ワイルド,232,20,212,1974
大乱闘スマッシュブラザーズ SPECIAL,226,39,187,2110
スーパーマリオパーティ,200,23,177,1210
世界のアソビ大全51,181,80,101,181
New スーパーマリオブラザーズU デラックス,172,11,160,832
ポケットモンスター ソード・シールド,165,25,140,1902
スーパーマリオ オデッセイ,158,7,151,1899
ルイージマンション３,151,9,142,783
Xenoblade Definitive Edition,140,30,110,140
Splatoon2,113,46,68,1127
